width,height,N,depth,seed,nodes_minimax,nodes_alphabeta,time_minimax_ns,time_alphabeta_ns
7,6,3,2,0,7,7,897250,18708
7,6,3,2,1,7,7,15667,13084
7,6,3,2,2,49,46,110875,102000
7,6,3,2,3,7,7,12333,12000
7,6,3,2,4,7,7,12875,12584
7,6,3,2,5,7,7,11750,11625
7,6,3,2,6,7,7,11292,11291
7,6,3,2,7,7,7,11041,11208
7,6,3,3,0,7,7,11125,11083
7,6,3,3,1,7,7,12042,11500
7,6,3,3,2,301,141,641541,351500
7,6,3,3,3,7,7,11709,11875
7,6,3,3,4,7,7,12125,12209
7,6,3,3,5,7,7,18250,11416
7,6,3,3,6,7,7,11417,11250
7,6,3,3,7,7,7,11167,11000
7,6,3,4,0,7,7,11333,11333
7,6,3,4,1,7,7,11709,11750
7,6,3,4,2,1770,384,3854125,994542
7,6,3,4,3,7,7,11542,11916
7,6,3,4,4,7,7,13375,13750
7,6,3,4,5,7,7,13083,12709
7,6,3,4,6,7,7,12292,12334
7,6,3,4,7,7,7,12209,12416
7,6,3,5,0,7,7,12500,12459
7,6,3,5,1,7,7,12750,13084
7,6,3,5,2,9060,875,19723000,2446792
7,6,3,5,3,7,7,33875,12375
7,6,3,5,4,7,7,12292,12250
7,6,3,5,5,7,7,11417,11167
7,6,3,5,6,7,7,10958,10916
7,6,3,5,7,7,7,10834,11000
7,6,4,2,0,37,13,76166,32250
7,6,4,2,1,49,13,106042,40917
7,6,4,2,2,49,13,113375,40459
7,6,4,2,3,43,17,90500,42125
7,6,4,2,4,49,19,103458,47834
7,6,4,2,5,43,13,89375,34167
7,6,4,2,6,49,13,101500,35958
7,6,4,2,7,7,7,11042,11084
7,6,4,3,0,223,39,489042,90250
7,6,4,3,1,343,55,763667,136541
7,6,4,3,2,343,97,755250,240209
7,6,4,3,3,264,70,570959,164167
7,6,4,3,4,337,55,743542,142250
7,6,4,3,5,265,55,589417,133375
7,6,4,3,6,342,55,749250,141750
7,6,4,3,7,7,7,11042,11084
7,6,4,4,0,1212,92,2617708,278458
7,6,4,4,1,2400,164,5257292,479459
7,6,4,4,2,2400,203,5269417,629584
7,6,4,4,3,1586,157,3453834,439292
7,6,4,4,4,2352,235,5137333,646542
7,6,4,4,5,1603,111,3518875,318583
7,6,4,4,6,2376,144,5233875,442209
7,6,4,4,7,7,7,11458,11333
7,6,4,5,0,7394,469,16104292,1156709
7,6,4,5,1,16198,508,35753167,1555625
7,6,4,5,2,16762,843,37436917,2269666
7,6,4,5,3,9598,524,21214083,1382083
7,6,4,5,4,15785,595,34609583,1541417
7,6,4,5,5,9921,373,21396375,1006459
7,6,4,5,6,15841,510,34907750,1443291
7,6,4,5,7,7,7,11375,11542
8,7,3,2,0,50,15,106583,43708
8,7,3,2,1,57,15,130375,43959
8,7,3,2,2,8,8,15000,13375
8,7,3,2,3,50,24,102667,55000
8,7,3,2,4,57,19,119334,47125
8,7,3,2,5,8,8,12792,12709
8,7,3,2,6,8,8,13541,13667
8,7,3,2,7,57,21,119417,57334
8,7,3,3,0,386,57,865125,142292
8,7,3,3,1,358,27,762500,77125
8,7,3,3,2,8,8,14500,14625
8,7,3,3,3,316,91,676458,205166
8,7,3,3,4,351,67,788166,169291
8,7,3,3,5,8,8,12625,12833
8,7,3,3,6,8,8,13125,13250
8,7,3,3,7,393,77,856125,183834
8,7,3,4,0,2374,64,5296708,218583
8,7,3,4,1,2261,90,4889208,238958
8,7,3,4,2,8,8,14875,14625
8,7,3,4,3,1842,261,3990333,669375
8,7,3,4,4,2248,83,4899083,296666
8,7,3,4,5,8,8,18875,18416
8,7,3,4,6,8,8,13584,13208
8,7,3,4,7,2514,152,5186333,424250
8,7,3,5,0,17136,317,38043584,760833
8,7,3,5,1,13430,169,28957625,481500
8,7,3,5,2,8,8,50542,13666
8,7,3,5,3,11109,672,24790875,1784750
8,7,3,5,4,12363,147,27178542,454083
8,7,3,5,5,8,8,18334,18625
8,7,3,5,6,8,8,13292,13459
8,7,3,5,7,15728,512,34486208,1350625
8,7,4,2,0,64,22,136750,56958
8,7,4,2,1,64,22,132375,54792
8,7,4,2,2,57,15,128875,40583
8,7,4,2,3,57,22,118042,53208
8,7,4,2,4,64,22,133125,55375
8,7,4,2,5,50,22,103708,51833
8,7,4,2,6,8,8,13708,13584
8,7,4,2,7,64,22,133541,54667
8,7,4,3,0,512,79,1101459,193875
8,7,4,3,1,512,99,1151458,247958
8,7,4,3,2,449,381,983458,809916
8,7,4,3,3,449,205,937125,447000
8,7,4,3,4,512,71,1107042,178042
8,7,4,3,5,351,100,725542,229959
8,7,4,3,6,8,8,13459,13583
8,7,4,3,7,512,78,1078667,186542
8,7,4,4,0,4047,142,9049042,476042
8,7,4,4,1,4095,301,8915292,869292
8,7,4,4,2,3193,466,6867458,1619333
8,7,4,4,3,3186,332,6904667,1024875
8,7,4,4,4,4096,268,8883500,785875
8,7,4,4,5,2157,225,4777458,683458
8,7,4,4,6,8,8,14500,14166
8,7,4,4,7,4096,344,9479667,978125
8,7,4,5,0,32326,736,70910333,1891416
8,7,4,5,1,32144,652,70363166,1784417
8,7,4,5,2,24235,10101,52986583,23879459
8,7,4,5,3,24836,3881,54863000,9338125
8,7,4,5,4,32425,710,71391500,1797292
8,7,4,5,5,15113,1006,32554334,2564667
8,7,4,5,6,8,8,13917,13583
8,7,4,5,7,32038,718,69795041,1907709
